orthoGp4550: TxB|gene10002_TxB
orthoGp4830: TxB|gene475_TxB
orthoGp4831: TxB|gene4765_TxB
orthoGp4832: TxB|gene4773_TxB
orthoGp4833: TxB|gene4786_TxB
orthoGp4834: TxB|gene480_TxB
orthoGp4835: TxB|gene4840_TxB
orthoGp4836: TxB|gene4842_TxB
orthoGp4837: TxB|gene485_TxB
orthoGp4838: TxB|gene4890_TxB
orthoGp4839: TxB|gene4893_TxB
orthoGp4840: TxB|gene4899_TxB
orthoGp4841: TxB|gene4911_TxB
orthoGp4842: TxB|gene4925_TxB
orthoGp4843: TxB|gene4927_TxB
orthoGp4844: TxB|gene5070_TxB
orthoGp4845: TxB|gene508_TxB
orthoGp4846: TxB|gene509_TxB
orthoGp4847: TxB|gene5101_TxB
orthoGp4848: TxB|gene5105_TxB
orthoGp4849: TxB|gene5121_TxB
orthoGp4850: TxB|gene5125_TxB
orthoGp4851: TxB|gene5143_TxB
orthoGp4852: TxB|gene5152_TxB
orthoGp4853: TxB|gene5160_TxB
orthoGp4854: TxB|gene5173_TxB
orthoGp4855: TxB|gene5178_TxB
orthoGp4856: TxB|gene5197_TxB
orthoGp4857: TxB|gene520_TxB
orthoGp4858: TxB|gene521_TxB
orthoGp4859: TxB|gene5220_TxB
orthoGp4860: TxB|gene5225_TxB
orthoGp4861: TxB|gene5230_TxB
orthoGp4862: TxB|gene5231_TxB
orthoGp4863: TxB|gene5246_TxB
orthoGp4864: TxB|gene5250_TxB
orthoGp4865: TxB|gene5256_TxB
orthoGp4866: TxB|gene5280_TxB
orthoGp4867: TxB|gene5290_TxB
orthoGp4868: TxB|gene5299_TxB
orthoGp4869: TxB|gene5309_TxB
orthoGp4870: TxB|gene5310_TxB
orthoGp4871: TxB|gene5318_TxB
orthoGp4872: TxB|gene5378_TxB
orthoGp4873: TxB|gene5493_TxB
orthoGp4874: TxB|gene5495_TxB
orthoGp4875: TxB|gene5500_TxB
orthoGp4876: TxB|gene5501_TxB
orthoGp4877: TxB|gene5502_TxB
orthoGp4878: TxB|gene5546_TxB
orthoGp4879: TxB|gene5570_TxB
orthoGp4880: TxB|gene5632_TxB
orthoGp4881: TxB|gene5633_TxB
orthoGp4882: TxB|gene566_TxB
orthoGp4883: TxB|gene5670_TxB
orthoGp4884: TxB|gene5700_TxB
orthoGp4885: TxB|gene5701_TxB
orthoGp4886: TxB|gene5717_TxB
orthoGp4887: TxB|gene5732_TxB
orthoGp4888: TxB|gene5736_TxB
orthoGp4889: TxB|gene5737_TxB
orthoGp4890: TxB|gene5741_TxB
orthoGp4891: TxB|gene5746_TxB
orthoGp4892: TxB|gene5747_TxB
orthoGp4893: TxB|gene574_TxB
orthoGp4894: TxB|gene5752_TxB
orthoGp4895: TxB|gene5784_TxB
orthoGp4896: TxB|gene5802_TxB
orthoGp4897: TxB|gene5838_TxB
orthoGp4898: TxB|gene5845_TxB
orthoGp4899: TxB|gene5846_TxB
orthoGp4900: TxB|gene5863_TxB
orthoGp4901: TxB|gene5881_TxB
orthoGp4902: TxB|gene5885_TxB
orthoGp4903: TxB|gene5918_TxB
orthoGp4904: TxB|gene5921_TxB
orthoGp4905: TxB|gene594_TxB
orthoGp4906: TxB|gene5980_TxB
orthoGp4907: TxB|gene5990_TxB
orthoGp4908: TxB|gene6010_TxB
orthoGp4909: TxB|gene6084_TxB
orthoGp4910: TxB|gene6086_TxB
orthoGp4911: TxB|gene6099_TxB
orthoGp4912: TxB|gene610_TxB
orthoGp4913: TxB|gene6111_TxB
orthoGp4914: TxB|gene6122_TxB
orthoGp4915: TxB|gene6156_TxB
orthoGp4916: TxB|gene6158_TxB
orthoGp4917: TxB|gene615_TxB
orthoGp4918: TxB|gene6165_TxB
orthoGp4919: TxB|gene616_TxB
orthoGp4920: TxB|gene6174_TxB
orthoGp4921: TxB|gene6176_TxB
orthoGp4922: TxB|gene6180_TxB
orthoGp4923: TxB|gene6186_TxB
orthoGp4924: TxB|gene6196_TxB
orthoGp4925: TxB|gene619_TxB
orthoGp4926: TxB|gene6206_TxB
orthoGp4927: TxB|gene6215_TxB
orthoGp4928: TxB|gene6254_TxB
orthoGp4929: TxB|gene6256_TxB
orthoGp4930: TxB|gene6280_TxB
orthoGp4931: TxB|gene6286_TxB
orthoGp4932: TxB|gene6308_TxB
orthoGp4933: TxB|gene6309_TxB
orthoGp4934: TxB|gene6326_TxB
orthoGp4935: TxB|gene6395_TxB
orthoGp4936: TxB|gene6399_TxB
orthoGp4937: TxB|gene6410_TxB
orthoGp4938: TxB|gene6412_TxB
orthoGp4939: TxB|gene6414_TxB
orthoGp4940: TxB|gene659_TxB
orthoGp4941: TxB|gene6652_TxB
orthoGp4942: TxB|gene665_TxB
orthoGp4943: TxB|gene666_TxB
orthoGp4944: TxB|gene667_TxB
orthoGp4945: TxB|gene6688_TxB
orthoGp4946: TxB|gene6699_TxB
orthoGp4947: TxB|gene669_TxB
orthoGp4948: TxB|gene66_TxB
orthoGp4949: TxB|gene6706_TxB
orthoGp4950: TxB|gene671_TxB
orthoGp4951: TxB|gene6726_TxB
orthoGp4952: TxB|gene674_TxB
orthoGp4953: TxB|gene6762_TxB
orthoGp4954: TxB|gene6767_TxB
orthoGp4955: TxB|gene6802_TxB
orthoGp4956: TxB|gene6820_TxB
orthoGp4957: TxB|gene6832_TxB
orthoGp4958: TxB|gene6833_TxB
orthoGp4959: TxB|gene6839_TxB
orthoGp4960: TxB|gene6911_TxB
orthoGp4961: TxB|gene6916_TxB
orthoGp4962: TxB|gene6926_TxB
orthoGp4963: TxB|gene6927_TxB
orthoGp4964: TxB|gene6928_TxB
orthoGp4965: TxB|gene6929_TxB
orthoGp4966: TxB|gene6930_TxB
orthoGp4967: TxB|gene6936_TxB
orthoGp4968: TxB|gene6978_TxB
orthoGp4969: TxB|gene69_TxB
orthoGp4970: TxB|gene7025_TxB
orthoGp4971: TxB|gene7034_TxB
orthoGp4972: TxB|gene7035_TxB
orthoGp4973: TxB|gene7036_TxB
orthoGp4974: TxB|gene7082_TxB
orthoGp4975: TxB|gene709_TxB
orthoGp4976: TxB|gene7141_TxB
orthoGp4977: TxB|gene7168_TxB
orthoGp4978: TxB|gene7228_TxB
orthoGp4979: TxB|gene7229_TxB
orthoGp4980: TxB|gene7278_TxB
orthoGp4981: TxB|gene731_TxB
orthoGp4982: TxB|gene7327_TxB
orthoGp4983: TxB|gene7335_TxB
orthoGp4984: TxB|gene7338_TxB
orthoGp4985: TxB|gene7356_TxB
orthoGp4986: TxB|gene7364_TxB
orthoGp4987: TxB|gene7389_TxB
orthoGp4988: TxB|gene7390_TxB
orthoGp4989: TxB|gene7393_TxB
orthoGp4990: TxB|gene7406_TxB
orthoGp4991: TxB|gene7475_TxB
orthoGp4992: TxB|gene7504_TxB
orthoGp4993: TxB|gene7522_TxB
orthoGp4994: TxB|gene7525_TxB
orthoGp4995: TxB|gene7538_TxB
orthoGp4996: TxB|gene7541_TxB
orthoGp4997: TxB|gene7542_TxB
orthoGp4998: TxB|gene7544_TxB
orthoGp4999: TxB|gene7545_TxB
orthoGp5000: TxB|gene7573_TxB
orthoGp5001: TxB|gene7585_TxB
orthoGp5002: TxB|gene7588_TxB
orthoGp5003: TxB|gene7589_TxB
orthoGp5004: TxB|gene7624_TxB
orthoGp5005: TxB|gene7625_TxB
orthoGp5006: TxB|gene7678_TxB
orthoGp5007: TxB|gene7731_TxB
orthoGp5008: TxB|gene7733_TxB
orthoGp5009: TxB|gene7738_TxB
orthoGp5010: TxB|gene7773_TxB
orthoGp5011: TxB|gene7783_TxB
orthoGp5012: TxB|gene7784_TxB
orthoGp5013: TxB|gene7788_TxB
orthoGp5014: TxB|gene77_TxB
orthoGp5015: TxB|gene7801_TxB
orthoGp5016: TxB|gene780_TxB
orthoGp5017: TxB|gene7811_TxB
orthoGp5018: TxB|gene7812_TxB
orthoGp5019: TxB|gene7815_TxB
orthoGp5020: TxB|gene7817_TxB
orthoGp5021: TxB|gene7823_TxB
orthoGp5022: TxB|gene7864_TxB
orthoGp5023: TxB|gene7865_TxB
orthoGp5024: TxB|gene7881_TxB
orthoGp5025: TxB|gene7936_TxB
orthoGp5026: TxB|gene7940_TxB
orthoGp5027: TxB|gene7962_TxB
orthoGp5028: TxB|gene7973_TxB
orthoGp5029: TxB|gene7974_TxB
orthoGp5030: TxB|gene8009_TxB
orthoGp5031: TxB|gene8012_TxB
orthoGp5032: TxB|gene8130_TxB
orthoGp5033: TxB|gene8203_TxB
orthoGp5034: TxB|gene8210_TxB
orthoGp5035: TxB|gene8220_TxB
orthoGp5036: TxB|gene8262_TxB
orthoGp5037: TxB|gene8263_TxB
orthoGp5038: TxB|gene8264_TxB
orthoGp5039: TxB|gene8265_TxB
orthoGp5040: TxB|gene8266_TxB
orthoGp5041: TxB|gene8271_TxB
orthoGp5042: TxB|gene8296_TxB
orthoGp5043: TxB|gene8299_TxB
orthoGp5044: TxB|gene8328_TxB
orthoGp5045: TxB|gene8412_TxB
orthoGp5046: TxB|gene8417_TxB
orthoGp5047: TxB|gene8454_TxB
orthoGp5048: TxB|gene845_TxB
orthoGp5049: TxB|gene8478_TxB
orthoGp5050: TxB|gene8556_TxB
orthoGp5051: TxB|gene8560_TxB
orthoGp5052: TxB|gene860_TxB
orthoGp5053: TxB|gene8634_TxB
orthoGp5054: TxB|gene8637_TxB
orthoGp5055: TxB|gene8650_TxB
orthoGp5056: TxB|gene865_TxB
orthoGp5057: TxB|gene8667_TxB
orthoGp5058: TxB|gene8697_TxB
orthoGp5059: TxB|gene8724_TxB
orthoGp5060: TxB|gene8733_TxB
orthoGp5061: TxB|gene8759_TxB
orthoGp5062: TxB|gene8779_TxB
orthoGp5063: TxB|gene8799_TxB
orthoGp5064: TxB|gene8800_TxB
orthoGp5065: TxB|gene8812_TxB
orthoGp5066: TxB|gene8813_TxB
orthoGp5067: TxB|gene8852_TxB
orthoGp5068: TxB|gene8853_TxB
orthoGp5069: TxB|gene887_TxB
orthoGp5070: TxB|gene889_TxB
orthoGp5071: TxB|gene8912_TxB
orthoGp5072: TxB|gene8934_TxB
orthoGp5073: TxB|gene8937_TxB
orthoGp5074: TxB|gene8940_TxB
orthoGp5075: TxB|gene8944_TxB
orthoGp5076: TxB|gene8945_TxB
orthoGp5077: TxB|gene895_TxB
orthoGp5078: TxB|gene8971_TxB
orthoGp5079: TxB|gene8992_TxB
orthoGp5080: TxB|gene8994_TxB
orthoGp5081: TxB|gene9003_TxB
orthoGp5082: TxB|gene902_TxB
orthoGp5083: TxB|gene9039_TxB
orthoGp5084: TxB|gene9040_TxB
orthoGp5085: TxB|gene9055_TxB
orthoGp5086: TxB|gene9062_TxB
orthoGp5087: TxB|gene9067_TxB
orthoGp5088: TxB|gene9070_TxB
orthoGp5089: TxB|gene9077_TxB
orthoGp5090: TxB|gene907_TxB
orthoGp5091: TxB|gene9090_TxB
orthoGp5092: TxB|gene9115_TxB
orthoGp5093: TxB|gene9156_TxB
orthoGp5094: TxB|gene9184_TxB
orthoGp5095: TxB|gene919_TxB
orthoGp5096: TxB|gene9210_TxB
orthoGp5097: TxB|gene9231_TxB
orthoGp5098: TxB|gene9237_TxB
orthoGp5099: TxB|gene924_TxB
orthoGp5100: TxB|gene926_TxB
orthoGp5101: TxB|gene9294_TxB
orthoGp5102: TxB|gene9344_TxB
orthoGp5103: TxB|gene9346_TxB
orthoGp5104: TxB|gene9348_TxB
orthoGp5105: TxB|gene936_TxB
orthoGp5106: TxB|gene9390_TxB
orthoGp5107: TxB|gene9393_TxB
orthoGp5108: TxB|gene9395_TxB
orthoGp5109: TxB|gene9397_TxB
orthoGp5110: TxB|gene9398_TxB
orthoGp5111: TxB|gene9415_TxB
orthoGp5112: TxB|gene9422_TxB
orthoGp5113: TxB|gene9423_TxB
orthoGp5114: TxB|gene9435_TxB
orthoGp5115: TxB|gene9436_TxB
orthoGp5116: TxB|gene9471_TxB
orthoGp5117: TxB|gene949_TxB
orthoGp5118: TxB|gene950_TxB
orthoGp5119: TxB|gene9546_TxB
orthoGp5120: TxB|gene9554_TxB
orthoGp5121: TxB|gene9559_TxB
orthoGp5122: TxB|gene9561_TxB
orthoGp5123: TxB|gene9564_TxB
orthoGp5124: TxB|gene9579_TxB
orthoGp5125: TxB|gene9587_TxB
orthoGp5126: TxB|gene9589_TxB
orthoGp5127: TxB|gene9628_TxB
orthoGp5128: TxB|gene9639_TxB
orthoGp5129: TxB|gene9661_TxB
orthoGp5130: TxB|gene9666_TxB
orthoGp5131: TxB|gene9678_TxB
orthoGp5132: TxB|gene967_TxB
orthoGp5133: TxB|gene9690_TxB
orthoGp5134: TxB|gene9696_TxB
orthoGp5135: TxB|gene9699_TxB
orthoGp5136: TxB|gene9713_TxB
orthoGp5137: TxB|gene9767_TxB
orthoGp5138: TxB|gene9771_TxB
orthoGp5139: TxB|gene981_TxB
orthoGp5140: TxB|gene9845_TxB
orthoGp5141: TxB|gene985_TxB
orthoGp5142: TxB|gene9890_TxB
orthoGp5143: TxB|gene9891_TxB
orthoGp5144: TxB|gene9900_TxB
orthoGp5145: TxB|gene9930_TxB
orthoGp5146: TxB|gene9934_TxB
orthoGp5147: TxB|gene9937_TxB
orthoGp5148: TxB|gene9941_TxB
orthoGp5149: TxB|gene9967_TxB
orthoGp5150: TxB|gene9970_TxB
orthoGp5151: TxB|gene997_TxB
orthoGp5152: TxB|gene9996_TxB
orthoGp5153: TxB|gene999_TxB
orthoGp5154: TxA|gene10020_TxA
orthoGp5155: TxA|gene10059_TxA
orthoGp5156: TxA|gene1011_TxA
orthoGp5157: TxA|gene10131_TxA
orthoGp5158: TxA|gene10135_TxA
orthoGp5159: TxA|gene10136_TxA
orthoGp5160: TxA|gene1016_TxA
orthoGp5161: TxA|gene10181_TxA
orthoGp5162: TxA|gene10185_TxA
orthoGp5163: TxA|gene10192_TxA
orthoGp5164: TxA|gene10213_TxA
orthoGp5165: TxA|gene10216_TxA
orthoGp5166: TxA|gene10217_TxA
orthoGp5167: TxA|gene10223_TxA
orthoGp5168: TxA|gene10233_TxA
orthoGp5169: TxA|gene10237_TxA
orthoGp5170: TxA|gene10254_TxA
orthoGp5171: TxA|gene1025_TxA
orthoGp5172: TxA|gene10267_TxA
orthoGp5173: TxA|gene10268_TxA
orthoGp5174: TxA|gene10274_TxA
orthoGp5175: TxA|gene10282_TxA
orthoGp5176: TxA|gene10290_TxA
orthoGp5177: TxA|gene10306_TxA
orthoGp5178: TxA|gene10310_TxA
orthoGp5179: TxA|gene10313_TxA
orthoGp5180: TxA|gene10315_TxA
orthoGp5181: TxA|gene10316_TxA
orthoGp5182: TxA|gene10317_TxA
orthoGp5183: TxA|gene10348_TxA
orthoGp5184: TxA|gene10359_TxA
orthoGp5185: TxA|gene10363_TxA
orthoGp5186: TxA|gene10367_TxA
orthoGp5187: TxA|gene1036_TxA
orthoGp5188: TxA|gene10373_TxA
orthoGp5189: TxA|gene10380_TxA
orthoGp5190: TxA|gene10387_TxA
orthoGp5191: TxA|gene10391_TxA
orthoGp5192: TxA|gene10408_TxA
orthoGp5193: TxA|gene10409_TxA
orthoGp5194: TxA|gene10410_TxA
orthoGp5195: TxA|gene10413_TxA
orthoGp5196: TxA|gene10415_TxA
orthoGp5197: TxA|gene10418_TxA
orthoGp5198: TxA|gene1041_TxA
orthoGp5199: TxA|gene10447_TxA
orthoGp5200: TxA|gene10456_TxA
orthoGp5201: TxA|gene10458_TxA
orthoGp5202: TxA|gene10463_TxA
orthoGp5203: TxA|gene10468_TxA
orthoGp5204: TxA|gene10470_TxA
orthoGp5205: TxA|gene10482_TxA
orthoGp5206: TxA|gene10489_TxA
orthoGp5207: TxA|gene1048_TxA
orthoGp5208: TxA|gene10491_TxA
orthoGp5209: TxA|gene10492_TxA
orthoGp5210: TxA|gene10497_TxA
orthoGp5211: TxA|gene10499_TxA
orthoGp5212: TxA|gene10511_TxA
orthoGp5213: TxA|gene10514_TxA
orthoGp5214: TxA|gene10528_TxA
orthoGp5215: TxA|gene1052_TxA
orthoGp5216: TxA|gene10548_TxA
orthoGp5217: TxA|gene10565_TxA
